#TAG,NAME IN REPO,PURPOSE
,sway,"is an i3 replacment of wayland."
,swaylock,"is a screen locker for Wayland."
,swayidle,"handles sway when its idle."
,i3blocks,"is the status bar."
,bemenu,"is like dmenu for wayland."
A,j4-dmenu-desktop-git,"is a rewrite of i3-dmenu-desktop, which is much faster ."
,xorg-server-xwayland,"is a compatibility layer for x11 apps."
,qt5-wayland,"provides APIs for Wayland."
,wl-clipboard,"allows copying and pasting from the command line."
,mako,"is a notification daemon."
,grim,"is a screenshot utility for Wayland."
,slurp,"is a region-screenshot utility for Wayland."
,imv,is an image viewer for Wayland and X11.
,,
# Dev K,,
#,unity,
A,gitkraken,"The intuitive, fast, and beautiful cross-platform Git client."
,npm,"is a package manager for javascript."
,nodejs,
,semver,
,node-gyp,
,jdk-openjdk,
,jre8-openjdk,
,jre8-openjdk-headless,
A,intellij-idea-ultimate-e`tion,
A,intellij-idea-ultimate-edition-jre,
,mysql-workbench,"is a cross-platform, visual database design tool developed by MySQL."
,clang,"- C language family frontend for LLVM"
,valgrind,"is a tool to help find memory-management problems in programs."
,gcc-objc,"- Objective-C front-end for GCC"
,gdb,"is the GNU Debugger."
A,clion,"is a C/C++ IDE."
A,clion-cmake,"is a C/C++ IDE."
A,clion-gdb,"is a C/C++ IDE."
A,clion-jre,"is a C/C++ IDE."
A,clion-lldb,"is a C/C++ IDE."
,mariadb,
,mariadb-clients,
,mariadb-libs,
,python-pip,
,code,"is the Open Source build of Visual Studio Code (vscode) editor"
#A,visual-studio-code-bin,"is microsofts code editor."
A,sublime-text-dev,
,,
# Gaming,,
,lib32-vulkan-icd-loader,
,lutris,
,wine,
,wine-lol,
,steam,"is a game store."
,lib32-nss,"fixes network issue with steam on Arch."
A,discord,"is voice/text chat client for gamers."
#Random,,
,newsboat,"is a news aggregator"
,syncthing,"private cloud (?)"
,wee-slack,""
,lxappearance-gtk3,"is used to set gtk themes."
,tree,"prints directories in a tree from."
,mc,""
A,urlscan,"parses URLs in the terminal allowing keyboard-based selection."
A,cydia-impactor,"is a GUI tool for working with mobile devices. -cydiaimpactor.com"
A,task-spooler,"queues commands or files for download."
,gparted,"is a GUI disc manager."
,pamac-gtk,"is a GUI package manager mainly for Manjaro."
,gnucash,""
A,multibootusb,""
,filezilla,""
,pacmanlogviewer,""
,brasero,"is a DVD burner program."
,libreoffice-fresh,is an office suit.
A,wattmangtk,""
A,rtl88xxau-aircrack-dkms-git,"https://github.com/aircrack-ng/rtl8812au#branch=v5.2.20"
,brightnessctl,"- Lightweight brightness control tool"
,wireless_tools,"https://hewlettpackard.github.io/wireless-tools/Tools.html"
,grafana,
,,
,,
# X,,
,picom,compton fork
,xcape,"gives the special escape/super mappings of LARBS."
,xdotool,"provides window action utilities on the command line."
,xorg-xbacklight,"enables changing screen brightness levels."
,xssstate,"times out the screen if locked."
,python-pywal,"is used to change X colors to match the wallpaper."
A,interception-hideaway,"hides cursor after some time."
,xclip,"allows for copying and pasting from the command line."
,,
,,
# Media:,,
,pulseaudio-ctl,""
,pulseaudio-jack,""
,pulseaudio-zerocon,""
,volumeicon,"is the tray icon for volume control."
,guvcview,"is the webcam app I used to use."
,clementine,"is an audio library."
A,davinci-resolve,",a professional A/V post-production software suite from Blackmagic Design."
,imagemagick,"is a terminal image-manipulator providing some convenient shortcuts and the lockscreen in LARBS."
,gthumb,"is an image viewer I use for cropping images."
,mpd,"is a lightweight music daemon."
,mpc,"is a terminal interface for mpd."
,ncmpcpp,"a ncurses interface for music with multiple formats and a powerful tag editor."
,lirc,"- Linux Infrared Remote Control"
,,
,,
# Fonts,,
A,ttf-ms-fonts,"are Microsoft fonts."
,ttf-inconsolata,"is the monospace font I used."
,noto-fonts,"Google Noto TTF fonts."
,noto-fonts-emoji,"provides unicode symbols and emojis."
,ttf-joypixels,"is a package that gives the system unicode symbols and emojis used in the status bar and elsewhere."
,,
,,
# LightDM:,,
,lightdm,""
,webkit2gtk,""
,lightdm-webkit-theme-litarvan,""
,,
,,
# Networkmanager,,
,networkmanager,"is what is sounds like."
,networkmanager-openconnect,
,networkmanager-openvpn,
,networkmanager-pptp,
,networkmanager-vpnc,
,network-manager-applet,"provides tray icon for networkmanager."
